course_name,course_domain,course_description,course_level,platform,organisation,course_rating
Writing Ethics and Best Practices,Writing,Understand ethical considerations and best practices in Writing.,All Levels,Khan Academy,Khan Academy,4.9
Health & Fitness Certification Prep,Health & Fitness,Comprehensive preparation for leading Health & Fitness certification exams.,Advanced,freeCodeCamp,freeCodeCamp,4.5
Computer Science Fundamentals for Professionals,Computer Science,A professional development course covering core Computer Science concepts and practical applications.,Intermediate,Khan Academy,Khan Academy,4.6
Robotics for Entrepreneurs,Robotics,How entrepreneurs can apply Robotics knowledge to grow their businesses.,All Levels,Udemy,Academind,4.5
Photography Research Methods,Photography,Rigorous research methodologies applied to Photography questions.,Beginner,Khan Academy,Khan Academy,4.1
Linguistics Masterclass,Linguistics,Master the art and science of Linguistics with expert-led instruction.,Intermediate,Coursera,University of Illinois,4.6
Internet of Things in Practice,Internet of Things,Real-world Internet of Things projects and case studies for hands-on learning.,Intermediate,MIT OpenCourseWare,MIT,4.5
IT Support Ethics and Best Practices,IT Support,Understand ethical considerations and best practices in IT Support.,Intermediate,DataCamp,DataCamp,4.1
Product Management for Non-Specialists,Product Management,Accessible Product Management knowledge for people from other backgrounds.,Intermediate,Udemy,Academind,4.6
Biology Innovation,Biology,Explore emerging trends and innovations transforming Biology.,Intermediate,Skillshare,CreativeLive,4.6
Health & Fitness Workshop Series,Health & Fitness,Interactive workshop-style learning for Health & Fitness practitioners.,Beginner,Khan Academy,Khan Academy,3.9
Database Certification Prep,Database,Comprehensive preparation for leading Database certification exams.,Beginner,Swayam,IIT Bombay,3.9
Data Science in Practice,Data Science,Real-world Data Science projects and case studies for hands-on learning.,Advanced,MIT OpenCourseWare,MIT,4.0
Introduction to Artificial Intelligence,Artificial Intelligence,"A welcoming, approachable introduction to Artificial Intelligence for absolute beginners.",Beginner,YouTube,Traversy Media,4.2
Complete Data Science Bootcamp,Data Science,"An intensive, comprehensive bootcamp covering Data Science from zero to expert.",Intermediate,Swayam,IIT Bombay,4.1
Sports Science for Career Changers,Sports Science,Designed for professionals transitioning into Sports Science from other fields.,Beginner,Alison,Alison,4.1
Artificial Intelligence for Non-Specialists,Artificial Intelligence,Accessible Artificial Intelligence knowledge for people from other backgrounds.,Intermediate,MIT OpenCourseWare,MIT,3.9
Advanced Education Techniques,Education,Deep dive into advanced Education methodologies used in industry.,Intermediate,edX,Harvard University,3.9
Operating Systems Research Methods,Operating Systems,Rigorous research methodologies applied to Operating Systems questions.,Intermediate,Skillshare,CreativeLive,3.8
Data Engineering Certification Prep,Data Engineering,Comprehensive preparation for leading Data Engineering certification exams.,Advanced,DataCamp,DataCamp,4.5
Engineering in Practice,Engineering,Real-world Engineering projects and case studies for hands-on learning.,All Levels,Alison,Alison,4.4
Veterinary Science Ethics and Best Practices,Veterinary Science,Understand ethical considerations and best practices in Veterinary Science.,Beginner,Swayam,IIT Bombay,3.8
Artificial Intelligence in Practice,Artificial Intelligence,Real-world Artificial Intelligence projects and case studies for hands-on learning.,Beginner,Alison,Alison,4.9
Networking Case Studies,Networking,Learn Networking through analysis of real industry case studies.,Intermediate,Brilliant,Brilliant,4.8
Geography Problem Solving,Geography,Develop strong problem-solving abilities in Geography.,Advanced,Brilliant,Brilliant,4.4
Computer Science for Career Changers,Computer Science,Designed for professionals transitioning into Computer Science from other fields.,All Levels,Khan Academy,Khan Academy,3.9
Cloud Computing Case Studies,Cloud Computing,Learn Cloud Computing through analysis of real industry case studies.,All Levels,freeCodeCamp,freeCodeCamp,4.2
Robotics in Practice,Robotics,Real-world Robotics projects and case studies for hands-on learning.,All Levels,Udemy,Academind,5.0
Accounting Workshop Series,Accounting,Interactive workshop-style learning for Accounting practitioners.,Beginner,Skillshare,CreativeLive,4.0
Earth Science Workshop Series,Earth Science,Interactive workshop-style learning for Earth Science practitioners.,Beginner,edX,Harvard University,4.8
Advanced Cybersecurity Techniques,Cybersecurity,Deep dive into advanced Cybersecurity methodologies used in industry.,Intermediate,DataCamp,DataCamp,4.6
Computer Vision Fundamentals for Professionals,Computer Vision,A professional development course covering core Computer Vision concepts and practical applications.,Intermediate,Brilliant,Brilliant,4.1
Mobile Development in Practice,Mobile Development,Real-world Mobile Development projects and case studies for hands-on learning.,Intermediate,edX,Harvard University,4.0
Networking Fundamentals for Professionals,Networking,A professional development course covering core Networking concepts and practical applications.,Advanced,Coursera,University of Illinois,4.8
Data Science Certification Prep,Data Science,Comprehensive preparation for leading Data Science certification exams.,Beginner,freeCodeCamp,freeCodeCamp,4.5
Healthcare for Entrepreneurs,Healthcare,How entrepreneurs can apply Healthcare knowledge to grow their businesses.,All Levels,edX,Harvard University,4.3
Introduction to AR/VR,AR/VR,"A welcoming, approachable introduction to AR/VR for absolute beginners.",Beginner,Alison,Alison,4.9
Applied Deep Learning,Deep Learning,Practical Deep Learning skills for solving real workplace problems.,Beginner,Udemy,Academind,4.3
Mobile Development for Entrepreneurs,Mobile Development,How entrepreneurs can apply Mobile Development knowledge to grow their businesses.,Advanced,FutureLearn,FutureLearn,4.0
Data Science Certification Prep,Data Science,Comprehensive preparation for leading Data Science certification exams.,All Levels,Swayam,IIT Bombay,4.4
Sociology in Practice,Sociology,Real-world Sociology projects and case studies for hands-on learning.,Beginner,FutureLearn,FutureLearn,4.3
Supply Chain in Practice,Supply Chain,Real-world Supply Chain projects and case studies for hands-on learning.,All Levels,Udemy,Academind,5.0
Music Workshop Series,Music,Interactive workshop-style learning for Music practitioners.,Intermediate,Pluralsight,Pluralsight,4.9
Artificial Intelligence Certification Prep,Artificial Intelligence,Comprehensive preparation for leading Artificial Intelligence certification exams.,Beginner,LinkedIn Learning,LinkedIn,4.2
Supply Chain Ethics and Best Practices,Supply Chain,Understand ethical considerations and best practices in Supply Chain.,Advanced,Brilliant,Brilliant,4.7
Finance Leadership,Finance,Develop leadership and management skills specific to Finance.,Beginner,YouTube,Traversy Media,4.0
Professional Journalism Skills,Journalism,Industry-ready Journalism skills for immediate career application.,Advanced,DataCamp,DataCamp,3.9
Cooking for Career Changers,Cooking,Designed for professionals transitioning into Cooking from other fields.,Beginner,Alison,Alison,4.1
Visual Arts for Entrepreneurs,Visual Arts,How entrepreneurs can apply Visual Arts knowledge to grow their businesses.,Intermediate,Khan Academy,Khan Academy,3.9
Computer Vision Masterclass,Computer Vision,Master the art and science of Computer Vision with expert-led instruction.,Beginner,Khan Academy,Khan Academy,3.9
Cooking Fundamentals for Professionals,Cooking,A professional development course covering core Cooking concepts and practical applications.,Advanced,Skillshare,CreativeLive,4.8
Foundations of Artificial Intelligence,Artificial Intelligence,Build a rock-solid foundation in core Artificial Intelligence principles.,Advanced,freeCodeCamp,freeCodeCamp,4.0
Machine Learning Research Methods,Machine Learning,Rigorous research methodologies applied to Machine Learning questions.,All Levels,Swayam,IIT Bombay,4.3
Game Development Innovation,Game Development,Explore emerging trends and innovations transforming Game Development.,Advanced,MIT OpenCourseWare,MIT,4.3
Health & Fitness Innovation,Health & Fitness,Explore emerging trends and innovations transforming Health & Fitness.,Beginner,Coursera,University of Illinois,4.5
Game Development Fundamentals for Professionals,Game Development,A professional development course covering core Game Development concepts and practical applications.,All Levels,Alison,Alison,4.3
Advanced Machine Learning Techniques,Machine Learning,Deep dive into advanced Machine Learning methodologies used in industry.,Intermediate,LinkedIn Learning,LinkedIn,4.2
Complete Artificial Intelligence Bootcamp,Artificial Intelligence,"An intensive, comprehensive bootcamp covering Artificial Intelligence from zero to expert.",Intermediate,Skillshare,CreativeLive,4.3
Professional Pharmaceutical Sciences Skills,Pharmaceutical Sciences,Industry-ready Pharmaceutical Sciences skills for immediate career application.,Intermediate,Skillshare,CreativeLive,4.9
Healthcare Workshop Series,Healthcare,Interactive workshop-style learning for Healthcare practitioners.,Beginner,edX,Harvard University,3.9
Applied Writing,Writing,Practical Writing skills for solving real workplace problems.,Beginner,edX,Harvard University,4.2
Deep Learning Certification Prep,Deep Learning,Comprehensive preparation for leading Deep Learning certification exams.,Intermediate,Udemy,Academind,4.1
Political Science for Career Changers,Political Science,Designed for professionals transitioning into Political Science from other fields.,All Levels,Brilliant,Brilliant,4.4
Professional Cloud Computing Skills,Cloud Computing,Industry-ready Cloud Computing skills for immediate career application.,Beginner,DataCamp,DataCamp,4.2
Geography Problem Solving,Geography,Develop strong problem-solving abilities in Geography.,All Levels,Coursera,University of Illinois,4.2
Communication Innovation,Communication,Explore emerging trends and innovations transforming Communication.,Advanced,Alison,Alison,4.8
Complete Media Production Bootcamp,Media Production,"An intensive, comprehensive bootcamp covering Media Production from zero to expert.",Beginner,FutureLearn,FutureLearn,4.4
Sports Science Masterclass,Sports Science,Master the art and science of Sports Science with expert-led instruction.,Advanced,MIT OpenCourseWare,MIT,4.9
Graphic Design for Non-Specialists,Graphic Design,Accessible Graphic Design knowledge for people from other backgrounds.,All Levels,Pluralsight,Pluralsight,4.9
Complete Social Work Bootcamp,Social Work,"An intensive, comprehensive bootcamp covering Social Work from zero to expert.",Advanced,edX,Harvard University,4.8
Professional Fashion Skills,Fashion,Industry-ready Fashion skills for immediate career application.,Advanced,Coursera,University of Illinois,4.6
Complete Mathematics Bootcamp,Mathematics,"An intensive, comprehensive bootcamp covering Mathematics from zero to expert.",Beginner,YouTube,Traversy Media,4.5
IT Support in Practice,IT Support,Real-world IT Support projects and case studies for hands-on learning.,Advanced,Khan Academy,Khan Academy,4.8
Physics Research Methods,Physics,Rigorous research methodologies applied to Physics questions.,All Levels,Skillshare,CreativeLive,4.4
Complete Product Management Bootcamp,Product Management,"An intensive, comprehensive bootcamp covering Product Management from zero to expert.",Advanced,DataCamp,DataCamp,4.0
Mobile Development Ethics and Best Practices,Mobile Development,Understand ethical considerations and best practices in Mobile Development.,Beginner,FutureLearn,FutureLearn,3.9
Digital Marketing for Non-Specialists,Digital Marketing,Accessible Digital Marketing knowledge for people from other backgrounds.,Beginner,edX,Harvard University,4.3
Psychology Case Studies,Psychology,Learn Psychology through analysis of real industry case studies.,All Levels,Udemy,Academind,4.8
Advanced Music Techniques,Music,Deep dive into advanced Music methodologies used in industry.,Intermediate,edX,Harvard University,4.6
Philosophy Fundamentals for Professionals,Philosophy,A professional development course covering core Philosophy concepts and practical applications.,Advanced,freeCodeCamp,freeCodeCamp,4.9
Psychology Leadership,Psychology,Develop leadership and management skills specific to Psychology.,Intermediate,MIT OpenCourseWare,MIT,4.3
Healthcare Case Studies,Healthcare,Learn Healthcare through analysis of real industry case studies.,Intermediate,Brilliant,Brilliant,4.7
Professional Accounting Skills,Accounting,Industry-ready Accounting skills for immediate career application.,Advanced,Swayam,IIT Bombay,4.6
Web Development Workshop Series,Web Development,Interactive workshop-style learning for Web Development practitioners.,All Levels,freeCodeCamp,freeCodeCamp,4.7
Foundations of AR/VR,AR/VR,Build a rock-solid foundation in core AR/VR principles.,Intermediate,Skillshare,CreativeLive,5.0
Professional Medicine Skills,Medicine,Industry-ready Medicine skills for immediate career application.,Intermediate,DataCamp,DataCamp,4.1
Cooking Innovation,Cooking,Explore emerging trends and innovations transforming Cooking.,Beginner,Swayam,IIT Bombay,4.0
Computer Science Fundamentals for Professionals,Computer Science,A professional development course covering core Computer Science concepts and practical applications.,Intermediate,Swayam,IIT Bombay,4.5
DevOps Research Methods,DevOps,Rigorous research methodologies applied to DevOps questions.,Advanced,YouTube,Traversy Media,4.7
Bioinformatics Workshop Series,Bioinformatics,Interactive workshop-style learning for Bioinformatics practitioners.,Advanced,freeCodeCamp,freeCodeCamp,4.0
Applied Pharmaceutical Sciences,Pharmaceutical Sciences,Practical Pharmaceutical Sciences skills for solving real workplace problems.,Intermediate,DataCamp,DataCamp,4.2
Sports Science for Entrepreneurs,Sports Science,How entrepreneurs can apply Sports Science knowledge to grow their businesses.,Intermediate,edX,Harvard University,4.5
Writing Workshop Series,Writing,Interactive workshop-style learning for Writing practitioners.,All Levels,Pluralsight,Pluralsight,4.3
Astronomy Innovation,Astronomy,Explore emerging trends and innovations transforming Astronomy.,Advanced,YouTube,Traversy Media,5.0
Applied Business,Business,Practical Business skills for solving real workplace problems.,Advanced,Brilliant,Brilliant,4.9
NLP Certification Prep,NLP,Comprehensive preparation for leading NLP certification exams.,Beginner,Coursera,University of Illinois,4.3
Applied Quantum Computing,Quantum Computing,Practical Quantum Computing skills for solving real workplace problems.,Beginner,freeCodeCamp,freeCodeCamp,3.9
Complete Healthcare Bootcamp,Healthcare,"An intensive, comprehensive bootcamp covering Healthcare from zero to expert.",All Levels,LinkedIn Learning,LinkedIn,4.6
Computer Science Case Studies,Computer Science,Learn Computer Science through analysis of real industry case studies.,All Levels,edX,Harvard University,4.1
Foundations of Medicine,Medicine,Build a rock-solid foundation in core Medicine principles.,All Levels,MIT OpenCourseWare,MIT,4.0
Data Science for Career Changers,Data Science,Designed for professionals transitioning into Data Science from other fields.,All Levels,LinkedIn Learning,LinkedIn,3.8
Anthropology Masterclass,Anthropology,Master the art and science of Anthropology with expert-led instruction.,Advanced,LinkedIn Learning,LinkedIn,4.8
IT Support Problem Solving,IT Support,Develop strong problem-solving abilities in IT Support.,Advanced,YouTube,Traversy Media,4.8
Complete Earth Science Bootcamp,Earth Science,"An intensive, comprehensive bootcamp covering Earth Science from zero to expert.",Beginner,Udemy,Academind,4.4
History for Non-Specialists,History,Accessible History knowledge for people from other backgrounds.,Advanced,freeCodeCamp,freeCodeCamp,5.0
Physics Innovation,Physics,Explore emerging trends and innovations transforming Physics.,Advanced,Alison,Alison,4.0
Environmental Science Workshop Series,Environmental Science,Interactive workshop-style learning for Environmental Science practitioners.,Advanced,MIT OpenCourseWare,MIT,4.0
Social Work Problem Solving,Social Work,Develop strong problem-solving abilities in Social Work.,Intermediate,Pluralsight,Pluralsight,4.4
Complete AR/VR Bootcamp,AR/VR,"An intensive, comprehensive bootcamp covering AR/VR from zero to expert.",Beginner,edX,Harvard University,3.9
Media Studies Masterclass,Media Studies,Master the art and science of Media Studies with expert-led instruction.,All Levels,Khan Academy,Khan Academy,4.6
Geography Masterclass,Geography,Master the art and science of Geography with expert-led instruction.,All Levels,Alison,Alison,4.1
Professional Art History Skills,Art History,Industry-ready Art History skills for immediate career application.,All Levels,Swayam,IIT Bombay,4.0
Graphic Design for Career Changers,Graphic Design,Designed for professionals transitioning into Graphic Design from other fields.,Intermediate,LinkedIn Learning,LinkedIn,4.6
Professional Robotics Skills,Robotics,Industry-ready Robotics skills for immediate career application.,All Levels,MIT OpenCourseWare,MIT,4.2
Mobile Development in Practice,Mobile Development,Real-world Mobile Development projects and case studies for hands-on learning.,Intermediate,LinkedIn Learning,LinkedIn,4.8
Accounting Leadership,Accounting,Develop leadership and management skills specific to Accounting.,Beginner,LinkedIn Learning,LinkedIn,4.1
Foundations of Cloud Computing,Cloud Computing,Build a rock-solid foundation in core Cloud Computing principles.,Advanced,YouTube,Traversy Media,4.4
Mobile Development Certification Prep,Mobile Development,Comprehensive preparation for leading Mobile Development certification exams.,Intermediate,Swayam,IIT Bombay,3.9
Music Workshop Series,Music,Interactive workshop-style learning for Music practitioners.,Advanced,edX,Harvard University,4.2
Complete Personal Development Bootcamp,Personal Development,"An intensive, comprehensive bootcamp covering Personal Development from zero to expert.",Beginner,Coursera,University of Illinois,4.0
DevOps Problem Solving,DevOps,Develop strong problem-solving abilities in DevOps.,Intermediate,Swayam,IIT Bombay,4.7
Urban Planning Ethics and Best Practices,Urban Planning,Understand ethical considerations and best practices in Urban Planning.,Advanced,edX,Harvard University,4.0
Complete Cybersecurity Bootcamp,Cybersecurity,"An intensive, comprehensive bootcamp covering Cybersecurity from zero to expert.",Advanced,Swayam,IIT Bombay,4.6
Visual Arts Research Methods,Visual Arts,Rigorous research methodologies applied to Visual Arts questions.,All Levels,Pluralsight,Pluralsight,3.9
Sociology Ethics and Best Practices,Sociology,Understand ethical considerations and best practices in Sociology.,All Levels,Khan Academy,Khan Academy,4.1
Fashion Problem Solving,Fashion,Develop strong problem-solving abilities in Fashion.,Beginner,DataCamp,DataCamp,4.9
Complete Earth Science Bootcamp,Earth Science,"An intensive, comprehensive bootcamp covering Earth Science from zero to expert.",All Levels,MIT OpenCourseWare,MIT,4.5
Advanced Social Work Techniques,Social Work,Deep dive into advanced Social Work methodologies used in industry.,Advanced,Pluralsight,Pluralsight,3.8
Cloud Computing Masterclass,Cloud Computing,Master the art and science of Cloud Computing with expert-led instruction.,Beginner,Skillshare,CreativeLive,4.2
Visual Arts in Practice,Visual Arts,Real-world Visual Arts projects and case studies for hands-on learning.,Intermediate,Udemy,Academind,4.2
Healthcare for Career Changers,Healthcare,Designed for professionals transitioning into Healthcare from other fields.,All Levels,Udemy,Academind,3.9
Advanced Computer Science Techniques,Computer Science,Deep dive into advanced Computer Science methodologies used in industry.,All Levels,edX,Harvard University,4.0
Robotics Workshop Series,Robotics,Interactive workshop-style learning for Robotics practitioners.,Intermediate,Pluralsight,Pluralsight,4.6
Data Engineering Certification Prep,Data Engineering,Comprehensive preparation for leading Data Engineering certification exams.,All Levels,Coursera,University of Illinois,4.9
Professional History Skills,History,Industry-ready History skills for immediate career application.,Advanced,MIT OpenCourseWare,MIT,4.0
Digital Marketing Leadership,Digital Marketing,Develop leadership and management skills specific to Digital Marketing.,All Levels,DataCamp,DataCamp,4.7
Professional Robotics Skills,Robotics,Industry-ready Robotics skills for immediate career application.,All Levels,Brilliant,Brilliant,4.4
History Certification Prep,History,Comprehensive preparation for leading History certification exams.,Beginner,Coursera,University of Illinois,4.6
Complete Bioinformatics Bootcamp,Bioinformatics,"An intensive, comprehensive bootcamp covering Bioinformatics from zero to expert.",Advanced,freeCodeCamp,freeCodeCamp,4.0
Sports Science Fundamentals for Professionals,Sports Science,A professional development course covering core Sports Science concepts and practical applications.,All Levels,Alison,Alison,4.1
Education Certification Prep,Education,Comprehensive preparation for leading Education certification exams.,All Levels,YouTube,Traversy Media,3.9
Blockchain for Non-Specialists,Blockchain,Accessible Blockchain knowledge for people from other backgrounds.,Intermediate,LinkedIn Learning,LinkedIn,4.4
Professional Photography Skills,Photography,Industry-ready Photography skills for immediate career application.,Advanced,FutureLearn,FutureLearn,4.3
Photography Innovation,Photography,Explore emerging trends and innovations transforming Photography.,All Levels,FutureLearn,FutureLearn,4.1
Professional Education Skills,Education,Industry-ready Education skills for immediate career application.,Intermediate,MIT OpenCourseWare,MIT,4.5
Sociology Case Studies,Sociology,Learn Sociology through analysis of real industry case studies.,All Levels,LinkedIn Learning,LinkedIn,4.4
Professional Media Production Skills,Media Production,Industry-ready Media Production skills for immediate career application.,Intermediate,Alison,Alison,4.3
Finance Fundamentals for Professionals,Finance,A professional development course covering core Finance concepts and practical applications.,Advanced,Skillshare,CreativeLive,4.7
Advanced Video Production Techniques,Video Production,Deep dive into advanced Video Production methodologies used in industry.,Intermediate,LinkedIn Learning,LinkedIn,4.5
Urban Planning in Practice,Urban Planning,Real-world Urban Planning projects and case studies for hands-on learning.,Beginner,LinkedIn Learning,LinkedIn,4.7
Game Development for Non-Specialists,Game Development,Accessible Game Development knowledge for people from other backgrounds.,Intermediate,Coursera,University of Illinois,4.2
Finance Fundamentals for Professionals,Finance,A professional development course covering core Finance concepts and practical applications.,Intermediate,Brilliant,Brilliant,4.4
Writing Research Methods,Writing,Rigorous research methodologies applied to Writing questions.,All Levels,DataCamp,DataCamp,4.3
Professional Visual Arts Skills,Visual Arts,Industry-ready Visual Arts skills for immediate career application.,Intermediate,Pluralsight,Pluralsight,4.2
Music Ethics and Best Practices,Music,Understand ethical considerations and best practices in Music.,All Levels,Coursera,University of Illinois,4.2
Environmental Science Certification Prep,Environmental Science,Comprehensive preparation for leading Environmental Science certification exams.,Beginner,Udemy,Academind,3.9
Introduction to Machine Learning,Machine Learning,"A welcoming, approachable introduction to Machine Learning for absolute beginners.",Intermediate,Pluralsight,Pluralsight,4.6
Networking Problem Solving,Networking,Develop strong problem-solving abilities in Networking.,Advanced,Brilliant,Brilliant,4.9
Performing Arts Fundamentals for Professionals,Performing Arts,A professional development course covering core Performing Arts concepts and practical applications.,Intermediate,Swayam,IIT Bombay,4.8
Chemistry for Non-Specialists,Chemistry,Accessible Chemistry knowledge for people from other backgrounds.,Beginner,freeCodeCamp,freeCodeCamp,4.4
Applied Archaeology,Archaeology,Practical Archaeology skills for solving real workplace problems.,All Levels,LinkedIn Learning,LinkedIn,4.2
Cooking Certification Prep,Cooking,Comprehensive preparation for leading Cooking certification exams.,Advanced,Khan Academy,Khan Academy,4.6
Media Production Leadership,Media Production,Develop leadership and management skills specific to Media Production.,Advanced,Khan Academy,Khan Academy,3.8
Fashion Research Methods,Fashion,Rigorous research methodologies applied to Fashion questions.,Advanced,Swayam,IIT Bombay,4.7
Photography Leadership,Photography,Develop leadership and management skills specific to Photography.,Intermediate,Swayam,IIT Bombay,4.4
Computer Science Workshop Series,Computer Science,Interactive workshop-style learning for Computer Science practitioners.,Advanced,Khan Academy,Khan Academy,4.7
Astronomy Case Studies,Astronomy,Learn Astronomy through analysis of real industry case studies.,Intermediate,Udemy,Academind,4.0
Physics Workshop Series,Physics,Interactive workshop-style learning for Physics practitioners.,Advanced,Brilliant,Brilliant,4.3
Advanced Art History Techniques,Art History,Deep dive into advanced Art History methodologies used in industry.,All Levels,Udemy,Academind,4.8
Medicine Certification Prep,Medicine,Comprehensive preparation for leading Medicine certification exams.,All Levels,Brilliant,Brilliant,4.5
UI/UX Design Certification Prep,UI/UX Design,Comprehensive preparation for leading UI/UX Design certification exams.,Advanced,DataCamp,DataCamp,4.5
Political Science Case Studies,Political Science,Learn Political Science through analysis of real industry case studies.,Intermediate,Swayam,IIT Bombay,4.1
Robotics Ethics and Best Practices,Robotics,Understand ethical considerations and best practices in Robotics.,Advanced,Skillshare,CreativeLive,4.6
Architecture for Non-Specialists,Architecture,Accessible Architecture knowledge for people from other backgrounds.,Beginner,DataCamp,DataCamp,4.0
Foundations of Business,Business,Build a rock-solid foundation in core Business principles.,Advanced,LinkedIn Learning,LinkedIn,3.8
Advanced Artificial Intelligence Techniques,Artificial Intelligence,Deep dive into advanced Artificial Intelligence methodologies used in industry.,Advanced,MIT OpenCourseWare,MIT,4.7
Cooking for Non-Specialists,Cooking,Accessible Cooking knowledge for people from other backgrounds.,Beginner,FutureLearn,FutureLearn,4.9
Introduction to Bioinformatics,Bioinformatics,"A welcoming, approachable introduction to Bioinformatics for absolute beginners.",Advanced,Pluralsight,Pluralsight,4.4
Applied Veterinary Science,Veterinary Science,Practical Veterinary Science skills for solving real workplace problems.,Advanced,Brilliant,Brilliant,3.9
Professional Personal Development Skills,Personal Development,Industry-ready Personal Development skills for immediate career application.,All Levels,Brilliant,Brilliant,4.3
Engineering Case Studies,Engineering,Learn Engineering through analysis of real industry case studies.,Advanced,edX,Harvard University,4.3
Introduction to Psychology,Psychology,"A welcoming, approachable introduction to Psychology for absolute beginners.",All Levels,FutureLearn,FutureLearn,4.7
Human Resources Masterclass,Human Resources,Master the art and science of Human Resources with expert-led instruction.,Advanced,Coursera,University of Illinois,4.0
Applied Sports Science,Sports Science,Practical Sports Science skills for solving real workplace problems.,Advanced,YouTube,Traversy Media,4.9
Complete Cloud Computing Bootcamp,Cloud Computing,"An intensive, comprehensive bootcamp covering Cloud Computing from zero to expert.",All Levels,MIT OpenCourseWare,MIT,4.4
Quantum Computing Leadership,Quantum Computing,Develop leadership and management skills specific to Quantum Computing.,Intermediate,edX,Harvard University,4.6
Professional Chemistry Skills,Chemistry,Industry-ready Chemistry skills for immediate career application.,Intermediate,Swayam,IIT Bombay,4.6
Advanced Supply Chain Techniques,Supply Chain,Deep dive into advanced Supply Chain methodologies used in industry.,Beginner,freeCodeCamp,freeCodeCamp,4.7
Complete Health & Fitness Bootcamp,Health & Fitness,"An intensive, comprehensive bootcamp covering Health & Fitness from zero to expert.",Beginner,Skillshare,CreativeLive,4.8
Advanced NLP Techniques,NLP,Deep dive into advanced NLP methodologies used in industry.,Intermediate,YouTube,Traversy Media,5.0
Advanced Game Development Techniques,Game Development,Deep dive into advanced Game Development methodologies used in industry.,Advanced,MIT OpenCourseWare,MIT,4.2
Foundations of Deep Learning,Deep Learning,Build a rock-solid foundation in core Deep Learning principles.,Advanced,Alison,Alison,4.1
Advanced Finance Techniques,Finance,Deep dive into advanced Finance methodologies used in industry.,Intermediate,Alison,Alison,4.6
Professional Social Work Skills,Social Work,Industry-ready Social Work skills for immediate career application.,Intermediate,Swayam,IIT Bombay,3.9
Media Production Workshop Series,Media Production,Interactive workshop-style learning for Media Production practitioners.,Beginner,MIT OpenCourseWare,MIT,4.7
Advanced Communication Techniques,Communication,Deep dive into advanced Communication methodologies used in industry.,Intermediate,DataCamp,DataCamp,4.9
Education Research Methods,Education,Rigorous research methodologies applied to Education questions.,All Levels,Skillshare,CreativeLive,4.7
Applied Pharmaceutical Sciences,Pharmaceutical Sciences,Practical Pharmaceutical Sciences skills for solving real workplace problems.,All Levels,Brilliant,Brilliant,4.2
Pharmaceutical Sciences Ethics and Best Practices,Pharmaceutical Sciences,Understand ethical considerations and best practices in Pharmaceutical Sciences.,Advanced,freeCodeCamp,freeCodeCamp,4.2
Professional Physics Skills,Physics,Industry-ready Physics skills for immediate career application.,Beginner,Swayam,IIT Bombay,4.0
Supply Chain in Practice,Supply Chain,Real-world Supply Chain projects and case studies for hands-on learning.,Advanced,DataCamp,DataCamp,4.8
Computer Science for Career Changers,Computer Science,Designed for professionals transitioning into Computer Science from other fields.,Beginner,LinkedIn Learning,LinkedIn,3.9
Introduction to Cybersecurity,Cybersecurity,"A welcoming, approachable introduction to Cybersecurity for absolute beginners.",Intermediate,Pluralsight,Pluralsight,4.5
Language Learning for Career Changers,Language Learning,Designed for professionals transitioning into Language Learning from other fields.,Beginner,YouTube,Traversy Media,4.4
Healthcare for Career Changers,Healthcare,Designed for professionals transitioning into Healthcare from other fields.,Intermediate,FutureLearn,FutureLearn,4.0
Environmental Science for Career Changers,Environmental Science,Designed for professionals transitioning into Environmental Science from other fields.,Beginner,LinkedIn Learning,LinkedIn,4.2
Computer Vision Case Studies,Computer Vision,Learn Computer Vision through analysis of real industry case studies.,Beginner,LinkedIn Learning,LinkedIn,4.4
Earth Science Ethics and Best Practices,Earth Science,Understand ethical considerations and best practices in Earth Science.,Beginner,freeCodeCamp,freeCodeCamp,4.3
Political Science Fundamentals for Professionals,Political Science,A professional development course covering core Political Science concepts and practical applications.,All Levels,Pluralsight,Pluralsight,4.1
Law Case Studies,Law,Learn Law through analysis of real industry case studies.,Beginner,Alison,Alison,4.7
Linguistics Problem Solving,Linguistics,Develop strong problem-solving abilities in Linguistics.,All Levels,Brilliant,Brilliant,4.3
Law Research Methods,Law,Rigorous research methodologies applied to Law questions.,Intermediate,freeCodeCamp,freeCodeCamp,4.7
Introduction to Computer Science,Computer Science,"A welcoming, approachable introduction to Computer Science for absolute beginners.",All Levels,Skillshare,CreativeLive,4.1
Geography for Non-Specialists,Geography,Accessible Geography knowledge for people from other backgrounds.,Beginner,freeCodeCamp,freeCodeCamp,4.3
Photography Innovation,Photography,Explore emerging trends and innovations transforming Photography.,Intermediate,Swayam,IIT Bombay,4.2
Digital Marketing Certification Prep,Digital Marketing,Comprehensive preparation for leading Digital Marketing certification exams.,Advanced,YouTube,Traversy Media,4.4
Biology Leadership,Biology,Develop leadership and management skills specific to Biology.,Beginner,Skillshare,CreativeLive,4.0
Mathematics Certification Prep,Mathematics,Comprehensive preparation for leading Mathematics certification exams.,Advanced,MIT OpenCourseWare,MIT,4.4
Professional Philosophy Skills,Philosophy,Industry-ready Philosophy skills for immediate career application.,Beginner,Swayam,IIT Bombay,4.5
Art History Problem Solving,Art History,Develop strong problem-solving abilities in Art History.,Advanced,Brilliant,Brilliant,4.9
NLP Case Studies,NLP,Learn NLP through analysis of real industry case studies.,Beginner,DataCamp,DataCamp,4.7
